model_size,concept,token_position,layer_bucket,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
410m,confidence,-1,early,random_orthogonal,0.06262847719093159,0.0,11.322181642055511,1.0,0.0004762840386925854,48
410m,confidence,-1,late,mean_diff,0.02796024708853409,0.0,7.077363342046738,1.0,0.0016991136144496979,48
410m,confidence,-1,late,random_orthogonal,0.024775722335713558,0.0,6.418042451143265,1.0,0.0006848506848957896,48
410m,confidence,-1,mid,mean_diff,0.050423013123994026,0.0,11.204363187154135,1.0,0.0009708420978616,48
410m,confidence,-1,mid,random_orthogonal,0.05099859732824063,0.0,11.338148971398672,1.0,0.0008931644564047709,48
410m,confidence,0,early,mean_diff,0.04349224579830959,0.0,19.73323249816895,1.0,0.00038798535115341877,48
410m,confidence,0,early,random_orthogonal,0.05178544794519737,0.0,24.336187203725178,1.0,0.0003233770306299208,48
410m,confidence,0,late,mean_diff,0.054140855247775684,0.0,7.091703653335571,1.0,0.00014209428468344188,48
410m,confidence,0,late,random_orthogonal,0.053735185414552654,0.0,7.02567704518636,1.0,0.000195735596207633,48
410m,confidence,0,mid,mean_diff,0.05539712247749165,0.0,13.63720734914144,1.0,0.00030522011593342587,48
410m,confidence,0,mid,random_orthogonal,0.05474157196780041,0.0,13.329983552296957,1.0,0.00027485602474063155,48
410m,empathy,-1,early,mean_diff,0.06215936061926181,0.0017194610345055812,10.53240966796875,0.9982805389654944,0.0003534494004876364,48
410m,empathy,-1,early,random_orthogonal,0.06264147271091734,0.0,11.28081343571345,1.0,0.0004679238906343146,48
410m,empathy,-1,late,mean_diff,0.03162110814203814,0.0,7.789449989795685,1.0,0.0012202793489753145,48
410m,empathy,-1,late,random_orthogonal,0.02465162864730999,0.0,6.40184161067009,1.0,0.0006595591942944166,48
410m,empathy,-1,mid,mean_diff,0.05298490542918439,0.0,12.655369023482004,1.0,0.0013334110274929856,48
410m,empathy,-1,mid,random_orthogonal,0.050997515519459996,0.0,11.292305529117584,1.0,0.0008648307163335792,48
410m,empathy,0,early,mean_diff,0.061998040725787434,0.0,47.98583984375,1.0,0.00036064524677683333,48
410m,empathy,0,early,random_orthogonal,0.049298904836177763,0.0,23.428770065307617,1.0,0.00033873399024737707,48
410m,empathy,0,late,mean_diff,0.05198112440605954,0.0,6.857580264409383,1.0,0.00020220570968372412,48
410m,empathy,0,late,random_orthogonal,0.05466175203522042,0.0,7.132209459940593,1.0,0.00018805675578424978,48
410m,empathy,0,mid,mean_diff,0.05289465996126328,0.0,12.850251197814941,1.0,0.00029230782941638687,48
410m,empathy,0,mid,random_orthogonal,0.0537574229141076,0.0,13.218062082926432,1.0,0.0003029764970960506,48
410m,politeness,-1,early,mean_diff,0.05980562612724796,0.0,11.227791210015615,1.0,0.0005651813074412333,48
410m,politeness,-1,early,random_orthogonal,0.0626553258237739,0.0,11.297952751318613,1.0,0.0004786495222408875,48
410m,politeness,-1,late,mean_diff,0.029296355748859495,0.0,7.252036223808925,1.0,0.0012332885526120188,48
410m,politeness,-1,late,random_orthogonal,0.024810794042423326,0.0,6.410907715559006,1.0,0.0006626385547860584,48
410m,politeness,-1,mid,mean_diff,0.05288475852770105,0.0,11.635296980539957,1.0,0.0011652404791675063,48
410m,politeness,-1,mid,random_orthogonal,0.05096174435069159,0.0,11.290954867998758,1.0,0.0008614139054164083,48
410m,politeness,0,early,mean_diff,0.04684158042073245,0.0,26.329352696736652,1.0,0.0003911345390102771,48
410m,politeness,0,early,random_orthogonal,0.04780588050683333,0.0,24.049600919087727,1.0,0.00035425658764623333,48
410m,politeness,0,late,mean_diff,0.05510603574415043,0.0,7.39875594774882,1.0,0.00018971037699577588,48
410m,politeness,0,late,random_orthogonal,0.05368970582882559,0.0,7.021829843521118,1.0,0.00019479448413520676,48
410m,politeness,0,mid,mean_diff,0.05324977450072762,0.0,12.946319739023844,1.0,0.00029565744656181135,48
410m,politeness,0,mid,random_orthogonal,0.054670276741186734,0.0,13.318296114603678,1.0,0.0002806642783070331,48
70m,confidence,-1,early,mean_diff,0.03784971800632771,0.0,6.7849211394786835,1.0,0.05878639225071913,48
70m,confidence,-1,early,random_orthogonal,0.05080343231869236,0.0,10.506613075733185,1.0,0.08268662452852969,48
70m,confidence,-1,late,mean_diff,0.013230433609957445,0.0,3.4143391102552414,1.0,0.0651455477927811,48
