model_size,concept,token_position,layer_bucket,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
160m,empathy,0,late,linear_probe,0.007247883419040538,0.0,1.7103370260447264,1.0,0.004561830830789354,320
160m,empathy,0,late,mean_diff,0.006715839612297663,0.0,1.6179263014346361,1.0,0.005152520579395011,320
160m,empathy,0,late,random_orthogonal,0.007665215394808862,0.0,1.7736281175166368,1.0,0.004924804771508157,320
160m,empathy,0,mid,linear_probe,0.006876846484374199,0.0,4.1560849249362946,1.0,0.007813636440914656,160
160m,empathy,0,mid,mean_diff,0.005743131405324632,0.0,4.079303979873657,1.0,0.008485896272759369,160
160m,empathy,0,mid,random_orthogonal,0.007371184416115231,0.0,4.248202368617058,1.0,0.008207840452814657,160
160m,politeness,-1,early,linear_probe,0.012956806529837144,0.0,7.8584529556334015,1.0,0.027058020462572996,320
160m,politeness,-1,early,mean_diff,0.012663355808763252,0.0,8.077866991609335,1.0,0.02733423300669524,320
160m,politeness,-1,early,random_orthogonal,0.014011887843662358,0.0,9.604762057960034,1.0,0.02044577022461449,320
160m,politeness,-1,late,linear_probe,0.012087100688950112,0.0,2.3944621179252863,1.0,0.029062682250514577,320
160m,politeness,-1,late,mean_diff,0.012652375706238625,0.0,2.502273028343916,1.0,0.02932546009978973,320
160m,politeness,-1,late,random_orthogonal,0.011948613086133215,0.0,2.3637535851448774,1.0,0.01978410627125408,320
160m,politeness,-1,mid,linear_probe,0.011653927690349468,0.0,4.853936848044396,1.0,0.029377509944606528,160
160m,politeness,-1,mid,mean_diff,0.011652933206642,0.0,4.847134391963482,1.0,0.028894607973052145,160
160m,politeness,-1,mid,random_orthogonal,0.011498300093808162,0.0,4.819491665065288,1.0,0.019479537254664996,160
160m,politeness,0,early,linear_probe,0.03336294618202368,0.1132841903090038,23.466164246201515,0.8867158096909961,0.010646505817930979,320
160m,politeness,0,early,mean_diff,0.03465095881256271,0.1334306514910863,25.713173642754555,0.8665693485089138,0.009795660568670378,320
160m,politeness,0,early,random_orthogonal,0.032528996496694114,0.03635179677093881,17.292624786496162,0.9636482032290612,0.010157542353408596,320
160m,politeness,0,late,linear_probe,0.007664039192604791,0.0,1.7822650335729122,1.0,0.005512525387075534,320
160m,politeness,0,late,mean_diff,0.007821919061825557,0.0,1.828901944682002,1.0,0.005119944749821977,320
160m,politeness,0,late,random_orthogonal,0.007671304003451904,0.0,1.7743921112269163,1.0,0.0054897715913284125,320
160m,politeness,0,mid,linear_probe,0.007392096624243951,0.0,4.261104539036751,1.0,0.00788669715257124,160
160m,politeness,0,mid,mean_diff,0.007434366561938012,0.0,4.264481902122498,1.0,0.008425521189565136,160
160m,politeness,0,mid,random_orthogonal,0.0073692216246854,0.0,4.246961608529091,1.0,0.007686273782019216,160
1b,confidence,-1,early,linear_probe,0.022652838137582825,0.2510909941816028,7.8796903297305105,0.7489090058183971,0.00012411697366585737,320
1b,confidence,-1,early,mean_diff,0.022671457714750383,0.25518500111025544,7.994863007962704,0.7448149988897446,0.00013788599610504532,320
1b,confidence,-1,early,random_orthogonal,0.022721919204923273,0.2892589152198208,7.7746160358190535,0.7107410847801792,0.00010215792243000695,320
1b,confidence,-1,late,linear_probe,0.007636067346902513,0.27418330945336244,1.7983717605471612,0.7258166905466376,0.00010471702368588509,320
1b,confidence,-1,late,mean_diff,0.007866318192100104,0.27175853393006005,1.8768681936897338,0.7282414660699399,0.00015534663136801906,320
1b,confidence,-1,late,random_orthogonal,0.006993615865940175,0.30757821630273413,1.5832629590295255,0.6924217836972659,4.212006106740718e-05,320
1b,confidence,-1,mid,linear_probe,0.018154175858944608,0.2931967561710902,6.0186287924647335,0.7068032438289098,0.00017614352955203267,160
1b,confidence,-1,mid,mean_diff,0.01910384450457054,0.2950614260500196,6.724834829568863,0.7049385739499804,0.0002857822441455544,160
1b,confidence,-1,mid,random_orthogonal,0.016737291734898414,0.2718379025824102,5.455882893502713,0.7281620974175897,0.00010395477410154663,160
1b,confidence,0,early,linear_probe,0.020089802012080268,0.04541060619667273,20.02091759443283,0.9545893938033272,9.442985722074581e-06,320
1b,confidence,0,early,mean_diff,0.02233947877539317,0.1507812053460826,28.132981657981873,0.8492187946539174,9.528116842716372e-06,320
1b,confidence,0,early,random_orthogonal,0.022956150147365354,0.08090765267972026,23.883557930588722,0.9190923473202798,1.2423827652696672e-05,320
1b,confidence,0,late,linear_probe,0.018362306203925934,0.0,1.959009600803256,1.0,3.021296532068618e-06,320
1b,confidence,0,late,mean_diff,0.018245649116579395,0.0,1.95489402115345,1.0,2.8958883845575657e-06,320
