model_id,model_family,model_size_label,identity_frame,concept_axis,injection_site,layer_index,layer_bucket,vector_kind,alpha,axis_shift_mean,peak_displacement_mean,total_downstream_change_mean,end_of_pass_distance_mean,recovery_fraction_mean,next_token_kl_mean,next_token_js_mean,n
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,2,early,label_shuffled,1.0,0.009011215141250712,0.6250839382410049,80.30993747711182,0.06395424529910088,0.003614223996385522,0.035896884903195314,0.009203593093843665,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,2,early,mean_diff,-1.0,0.00569496737860026,3.8956639170646667,500.1797797679901,0.18777306005358696,0.2634076820756296,2.7555598616600037,0.4947645142674446,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,2,early,mean_diff,1.0,0.0,0.42783281207084656,52.74432283639908,0.036266885697841644,0.10528786071899648,0.016001673335267697,0.0039010214240988716,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,2,early,random_orthogonal,-1.0,0.002732434715799762,0.6125691533088684,96.87834084033966,0.0819692611694336,0.0,0.08913386706262827,0.02621621056459844,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,2,early,random_orthogonal,1.0,-0.014036875770275936,0.5951951891183853,99.63952040672302,0.08781580161303282,0.0,0.13231009431183338,0.03726275032386184,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,9,late,label_shuffled,-1.0,0.05020561787311901,1.0212208330631256,102.25706005096436,0.17741304263472557,0.0,1.2817144989967346,0.31594856083393097,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,9,late,label_shuffled,1.0,0.012041891281085359,1.0147425681352615,108.0979676246643,0.20003176853060722,0.0,4.128478720784187,0.4335505999624729,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,9,late,mean_diff,-1.0,-0.007573162523082426,0.5323644056916237,50.841245889663696,0.09361441805958748,0.00933155209059726,0.05576271325116977,0.01463363417860819,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,9,late,mean_diff,1.0,0.0,0.5347268283367157,46.366965770721436,0.0780468974262476,0.10170402556054525,0.0536238718777895,0.015147952362895012,4
EleutherAI/pythia-160m,pythia,160m,tool_only,expansive_vs_terse,first_generated,9,late,random_orthogonal,-1.0,0.006436076073785189,0.9910290539264679,102.20490455627441,0.1839921809732914,0.0,1.8117258623242378,0.36673211492598057,4
