model_size_label,identity_frame,prompt_family,difficulty_name,n,seed_count,choose_self_baseline_mean,choose_self_baseline_ci95_low,choose_self_baseline_ci95_high,pair_valid_mean,pair_valid_ci95_low,pair_valid_ci95_high,style_distance_mean,style_distance_ci95_low,style_distance_ci95_high,semantic_overlap_mean,semantic_overlap_ci95_low,semantic_overlap_ci95_high
1b,family_self,policy,positive_steer,40,5,0.1,0.0,0.23333333333333334,0.75,0.6,0.875,1.124647388776809,0.8811723664321933,1.3495279929502904,0.5465902905829406,0.429000343579276,0.6618025706726712
1b,family_self,policy,same_frame_resample,40,5,0.4,0.25,0.55,1.0,1.0,1.0,1.9074832928091694,1.8271489208872627,1.9896518403375973,0.32658892272804607,0.2762704155953881,0.3799815224630018
1b,family_self,rewrite,alt_frame,40,5,0.4,0.25,0.55,1.0,1.0,1.0,1.4684007227156504,1.4684007227156504,1.4684007227156504,0.23918243661746996,0.23918243661746996,0.23918243661746996
1b,family_self,rewrite,negative_steer,40,5,0.4666666666666667,0.3,0.6333333333333333,0.75,0.6,0.875,1.3063002916348612,1.0402948826496305,1.5658388911537777,0.43638050271056683,0.3218018267046999,0.5567660706737813
1b,family_self,rewrite,positive_steer,40,5,0.3333333333333333,0.16666666666666666,0.5,0.75,0.625,0.875,1.6505462150299892,1.3566000171341026,1.9374188469406415,0.36048320830553704,0.2472165399322056,0.4745366012908408
1b,family_self,rewrite,same_frame_resample,40,5,0.5,0.35,0.65,1.0,1.0,1.0,1.6678337513672994,1.5750688295803292,1.760043787794518,0.26778692559501005,0.23388642892339764,0.3064112774420275
1b,family_self,triage,alt_frame,40,5,0.45,0.25,0.65,0.5,0.325,0.65,0.742675731996824,0.48273922579793566,0.9654784515958713,0.6264175693919444,0.5143428402095276,0.7571714201047637
1b,family_self,triage,negative_steer,40,5,0.2,0.1,0.325,1.0,1.0,1.0,1.5574394804539893,1.4848528328436925,1.6285071620961389,0.6890795709830105,0.6036680839793522,0.7749947922347008
1b,family_self,triage,positive_steer,40,5,0.9,0.75,1.0,0.5,0.35,0.675,0.5623712971983947,0.3392173285921983,0.792703466897237,0.7781456979935071,0.6871382632091242,0.858472302163781
1b,family_self,triage,same_frame_resample,40,5,0.375,0.225,0.525,1.0,1.0,1.0,2.186403629284884,2.1129883536254948,2.2590116248876546,0.38086509840579985,0.32778767378549234,0.43119746436542644
1b,stable_style_policy,comparison,alt_frame,40,5,0.45,0.25,0.65,0.5,0.325,0.65,0.8536829376570954,0.5548939094771119,1.1097878189542238,0.5613395615082147,0.42974142996067927,0.7148707149803396
1b,stable_style_policy,comparison,negative_steer,40,5,0.4666666666666667,0.26666666666666666,0.6333333333333333,0.75,0.625,0.875,1.1509224953327712,0.9166497221365818,1.3816402398188956,0.44055620111000404,0.30780741172523096,0.5740205048657373
1b,stable_style_policy,comparison,positive_steer,40,5,0.8,0.6333333333333333,0.9333333333333333,0.75,0.625,0.875,1.1264694802526827,0.8907983143851863,1.3819316468214726,0.5741110277990472,0.4337633026415168,0.7003553380293862
1b,stable_style_policy,comparison,same_frame_resample,40,5,0.6,0.45,0.75,1.0,1.0,1.0,1.7349251654331774,1.6096679659173827,1.8570328624327397,0.3066042587773678,0.25183507862123644,0.36212412101094965
1b,stable_style_policy,critique,alt_frame,40,5,0.0,0.0,0.0,0.5,0.35,0.675,1.1692016947438693,0.8184411863207085,1.5784222879042233,0.5000000000000001,0.3250000000000001,0.6500000000000001
1b,stable_style_policy,critique,negative_steer,40,5,0.42857142857142855,0.2571428571428571,0.6,0.875,0.775,0.975,1.4456450806445058,1.2474547159267422,1.6295105781496206,0.22076715232176358,0.1271355180610617,0.3274327407661309
1b,stable_style_policy,critique,positive_steer,40,5,0.3,0.13333333333333333,0.4666666666666667,0.75,0.6,0.875,1.4276817069477676,1.1202306680781253,1.6960512234291907,0.5051116301256846,0.3561339561508215,0.6551116301256845
1b,stable_style_policy,critique,same_frame_resample,40,5,0.5263157894736842,0.3684210526315789,0.6842105263157895,0.95,0.875,1.0,1.7493630011694983,1.6001745148175324,1.8792370529179607,0.1594992103802789,0.12201497595068114,0.20667947399380002
1b,stable_style_policy,diagnosis,alt_frame,40,5,0.65,0.5,0.8,1.0,1.0,1.0,0.7268362385012225,0.520727863863268,0.903500559619469,0.365714948678668,0.2682683763767105,0.479402616364285
1b,stable_style_policy,diagnosis,negative_steer,40,5,0.23333333333333334,0.1,0.4,0.75,0.625,0.875,1.0733241812314778,0.8090522542073662,1.341107204430326,0.496393901624797,0.35690045152428895,0.6312123219582692
1b,stable_style_policy,diagnosis,positive_steer,40,5,0.45714285714285713,0.2857142857142857,0.6285714285714286,0.875,0.75,0.975,1.3517096650925406,1.0621192359376959,1.6336823037795967,0.38623061923685426,0.27274793773940664,0.49979098078678896
1b,stable_style_policy,diagnosis,same_frame_resample,40,5,0.3684210526315789,0.21052631578947367,0.5263157894736842,0.95,0.875,1.0,1.7375505196878986,1.5614916409625104,1.8941085240778701,0.3134915669162472,0.24226716694805567,0.38741514046176617
1b,stable_style_policy,judgment,alt_frame,40,5,0.45,0.3,0.6,1.0,1.0,1.0,0.5207264210698885,0.37721878069275006,0.6437329699645786,0.5754185439223432,0.4497510599968006,0.7220306085021427
1b,stable_style_policy,judgment,negative_steer,40,5,0.5,0.35,0.65,1.0,1.0,1.0,1.483310571456507,1.2835584253849688,1.6668379671386877,0.3105942416771087,0.20820197010877667,0.41699995694367875
1b,stable_style_policy,judgment,positive_steer,40,5,0.55,0.4,0.7,1.0,1.0,1.0,0.9774347611051727,0.7366750229663785,1.208748148093512,0.4680474741759971,0.35707202142032735,0.5913393847351531
1b,stable_style_policy,judgment,same_frame_resample,40,5,0.6,0.45,0.75,1.0,1.0,1.0,2.111687178129599,2.012456824268093,2.209086660683555,0.18793840267229922,0.14606901429201655,0.2359255504746283
1b,stable_style_policy,planning,alt_frame,40,5,0.3,0.175,0.45,1.0,1.0,1.0,1.4684007227156504,1.4684007227156504,1.4684007227156504,0.23918243661746996,0.23918243661746996,0.23918243661746996
1b,stable_style_policy,planning,negative_steer,40,5,0.25,0.05,0.45,0.5,0.35,0.65,0.6367164412850523,0.43815014095717053,0.8422112768965715,0.5696901682577253,0.4374297577459943,0.6999363032214052
1b,stable_style_policy,planning,positive_steer,40,5,0.64,0.44,0.84,0.625,0.475,0.775,1.2597173407448188,0.9567995011846885,1.549614057751542,0.43214263438716716,0.2981510857978621,0.5669471663533524
1b,stable_style_policy,planning,same_frame_resample,40,5,0.5641025641025641,0.41025641025641024,0.717948717948718,0.975,0.925,1.0,1.4772018237939513,1.3116832680029864,1.6346784091377555,0.2307234247277012,0.18368301322331446,0.2930700418235182
1b,stable_style_policy,policy,alt_frame,40,5,0.5,0.35,0.65,1.0,1.0,1.0,1.9891897801170195,1.959311197019387,2.024048127064258,0.05206223989281842,0.03384045593033197,0.06768091186066394
1b,stable_style_policy,policy,negative_steer,40,5,0.6,0.43333333333333335,0.7666666666666667,0.75,0.6,0.875,1.4391053813121866,1.1617683426529393,1.7004872705424634,0.3255778181131168,0.20349152333974815,0.4566567384086718
1b,stable_style_policy,policy,positive_steer,40,5,0.4666666666666667,0.3,0.6333333333333333,0.75,0.625,0.875,1.6036632402759363,1.332240903227792,1.8737689235320807,0.27641344017793595,0.15191768709236206,0.40166483658749763
1b,stable_style_policy,policy,same_frame_resample,40,5,0.4473684210526316,0.2894736842105263,0.6052631578947368,0.95,0.875,1.0,1.4051139552551521,1.2190300231959457,1.5727316380926448,0.27409866241137804,0.19861510647347844,0.36202537617028757
1b,stable_style_policy,rewrite,alt_frame,40,5,0.525,0.375,0.675,1.0,1.0,1.0,1.4684007227156504,1.4684007227156504,1.4684007227156504,0.23918243661746996,0.23918243661746996,0.23918243661746996
1b,stable_style_policy,rewrite,negative_steer,40,5,0.52,0.32,0.72,0.625,0.475,0.775,0.9673758661944994,0.713293141431104,1.2279198199716834,0.45511443464619283,0.31773057633170687,0.5900081143149164
1b,stable_style_policy,rewrite,positive_steer,40,5,0.5,0.3,0.6666666666666666,0.75,0.625,0.875,1.4668837827538794,1.2015822325615668,1.7244756800566015,0.30507149739480327,0.1888179263042978,0.42177899577805095
1b,stable_style_policy,rewrite,same_frame_resample,40,5,0.4358974358974359,0.28205128205128205,0.5897435897435898,0.975,0.925,1.0,1.4609715211571754,1.3242986248272897,1.582572983854108,0.20048657135456258,0.1546705298896952,0.26151343749089956
1b,stable_style_policy,triage,alt_frame,40,5,0.55,0.34875000000000006,0.75,0.5,0.325,0.65,0.742675731996824,0.48273922579793566,0.9654784515958713,0.6264175693919444,0.5143428402095276,0.7571714201047637
1b,stable_style_policy,triage,negative_steer,40,5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.875,0.75,0.975,1.3981263118091425,1.1334837590839002,1.6614383024464832,0.6403800097128782,0.5164853213785114,0.7663704209400899
1b,stable_style_policy,triage,positive_steer,40,5,0.6,0.4,0.8,0.625,0.475,0.775,0.4887017022852305,0.30541116913586447,0.6877626084140623,0.9063075721613056,0.8132315376324276,0.9807574731861124
1b,stable_style_policy,triage,same_frame_resample,40,5,0.55,0.4,0.7,1.0,1.0,1.0,2.036297402708624,1.9395383374661452,2.120919542558317,0.2602810921811083,0.2109954692258936,0.3108486591827401
